	ensembl_gene_id	external_gene_id
623	ENSMUSG00000046139	Patl1
624	ENSMUSG00000086756	Gm14051
625	ENSMUSG00000094375	Gm21838
626	ENSMUSG00000092216	Gm19345
627	ENSMUSG00000094689	Ighv1-81
628	ENSMUSG00000087348	Gm15582
629	ENSMUSG00000095800	Gm21720
630	ENSMUSG00000091060	7420461P10Rik
631	ENSMUSG00000084278	Gm12189
632	ENSMUSG00000036356	Csgalnact1
633	ENSMUSG00000094075	Ighv1-80
634	ENSMUSG00000087657	Gm16764
635	ENSMUSG00000094909	Gm21287
636	ENSMUSG00000060878	Olfr1420
637	ENSMUSG00000078612	1700024P16Rik
638	ENSMUSG00000073977	Olfr549
639	ENSMUSG00000093881	Gm21792
640	ENSMUSG00000086814	Gm15677
641	ENSMUSG00000067545	Olfr1419
642	ENSMUSG00000026697	Myoc
643	ENSMUSG00000073978	Olfr548-ps1
644	ENSMUSG00000094459	Gm21777
645	ENSMUSG00000020064	Herc4
646	ENSMUSG00000001052	Sec24b
647	ENSMUSG00000086108	Gm5602
648	ENSMUSG00000060556	Olfr1418
649	ENSMUSG00000095083	Gm21813
650	ENSMUSG00000073979	Olfr547
651	ENSMUSG00000082988	Gm5903
652	ENSMUSG00000028240	Cyp7a1
653	ENSMUSG00000094399	Gm21477
654	ENSMUSG00000081339	Gm16044
655	ENSMUSG00000048292	Olfr1417
656	ENSMUSG00000044824	Olfr545
657	ENSMUSG00000023953	Polh
658	ENSMUSG00000084964	Gm15503
659	ENSMUSG00000094716	Gm21752
660	ENSMUSG00000032000	Birc3
661	ENSMUSG00000087530	Gm15533
662	ENSMUSG00000096625	Gm21470
663	ENSMUSG00000043925	Olfr544
664	ENSMUSG00000020884	Asgr1
665	ENSMUSG00000029486	Mrpl1
666	ENSMUSG00000067848	4933402N22Rik
667	ENSMUSG00000086502	B130055M24Rik
668	ENSMUSG00000094761	Gm21462
669	ENSMUSG00000044814	Olfr543
670	ENSMUSG00000053175	Bcl3
671	ENSMUSG00000034467	Dynlrb2
672	ENSMUSG00000020048	Hsp90b1
673	ENSMUSG00000080959	Gm2003
674	ENSMUSG00000074184	Smt3h2-ps2
675	ENSMUSG00000095303	Gm21796
676	ENSMUSG00000081376	Gm11694
677	ENSMUSG00000073823	Gm10586
